Quality_Score,Species,Owner,Country of Origin,Company,Altitude,Region,Producer,Number of Bags,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Color,Category Two Defects,Certification Body,date_diff
87.58,Arabica,CQI Q Coffee Sample Representative,United States,Coffee Quality Institute,Meters above sea level: 2.080,Antioquía-Caicedo,María Leticia Diosa,10,Almacafé,2014-01-01 00:00:00,2015-03-13,Other,Completed,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,Sample  87.58,0%,0 full defects,None,0 full defects,Almacafé,365
87.42,Arabica,Grounds for Health Admin,Indonesia,N/A,1200-1800m,Sulawesi,P.T. Toarco Jaya,1,Specialty Coffee Association,N/A,2010-05-31,Other,Completed,Other,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,Sample  87.42,3%,0 full defects,None,0 full defects,Specialty Coffee Association,365
87.33,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,N/A,Yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,Ethiopia Commodity Exchange,2009-01-01 00:00:00,2010-06-16,Other,Completed,Other,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,Sample  87.33,5%,0 full defects,None,2 full defects,Ethiopia Commodity Exchange,365
87.25,Arabica,Yunnan Coffee Exchange,China,Yunnan Coffee Exchange,1450,Yunnan Province XiShuangBanNa City Menghai County,Echo Coffee,3,Yunnan Coffee Exchange,2015-01-01 00:00:00,2016-04-07,Catimor,Completed,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,Sample  87.25,10%,0 full defects,Green,0 full defects,Yunnan Coffee Exchange,365
87.25,Arabica,EssenceCoffee,Ethiopia,Essence Coffee,1700-2000m,Gedio,LevelUp,250,Blossom Valley International,2014-01-01 00:00:00,2015-03-25,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,Sample  87.25,0%,0 full defects,None,8 full defects,Blossom Valley International,365
87.25,Arabica,CQI Q Coffee Sample Representative,United States,Coffee Quality Institute,Meters above sea level: 2.019,Antioquía-Betulia,Nicolás Rueda Urrego,10,Almacafé,2014-01-01 00:00:00,2015-03-13,Other,Completed,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,Sample  87.25,0%,0 full defects,None,0 full defects,Almacafé,365
87.17,Arabica,The Coffee Source Inc.,Costa Rica,The Coffee Source Inc.,1300 MSNM,SAN RAMON,SEVERAL,250,Specialty Coffee Association,2014-01-01 00:00:00,2014-04-02,Caturra,Completed,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,Sample  87.17,11%,0 full defects,Green,2 full defects,Specialty Coffee Association,365
87.17,Arabica,ROBERTO LICONA FRANCO,Mexico,N/A,1320,XALAPA,ROBERTO LICONA FRANCO,14,AMECAFE,2012-01-01 00:00:00,2012-07-26,Other,Completed,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,Sample  87.17,13%,0 full defects,Green,0 full defects,AMECAFE,365
87.08,Arabica,CQI Q Coffee Sample Representative,United States,Coffee Quality Institute,Meters above sea level: 2.112,Antioquía-Giraldo,Silvia Elena Higuita,10,Almacafé,2014-01-01 00:00:00,2015-03-13,Other,Completed,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,Sample  87.08,0%,0 full defects,None,0 full defects,Almacafé,365
87.08,Arabica,Ji-Ae Ahn,Ethiopia,N/A,N/A,Sidamo,N/A,100,Specialty Coffee Institute of Asia,2013-01-01 00:00:00,2013-09-03,Other,Completed,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,Sample  87.08,11%,0 full defects,Bluish-Green,1 full defects,Specialty Coffee Institute of Asia,365
86.92,Arabica,NUCOFFEE,Brazil,NUCOFFEE,1250m,South of Minas,Ralph Junqueira,3,NUCOFFEE,2011-01-01 00:00:00,2011-12-03,Bourbon,Completed,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,Sample  86.92,12%,0 full defects,Green,2 full defects,NUCOFFEE,365
86.92,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,N/A,Sidamo,Green Gold Ethiopia | Phone: 0114342032,150,Ethiopia Commodity Exchange,2009-01-01 00:00:00,2010-06-16,Other,Completed,Other,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,Sample  86.92,5%,0 full defects,None,2 full defects,Ethiopia Commodity Exchange,365
86.83,Arabica,Kabum Trading company,Uganda,Kabum Trading company,1950,Kapchorwa Eastern,Kabum trading company,100,Uganda Coffee Development Authority,2013-01-01 00:00:00,2014-06-26,SL14,Completed,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,Sample  86.83,12%,0 full defects,Green,1 full defects,Uganda Coffee Development Authority,365
86.67,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1400,Comayagua,Reinerio Zepeda,275,Instituto Hondureño del Café,2016-01-01 00:00:00,2017-05-18,Caturra,Completed,Other,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,Sample  86.67,10%,0 full defects,Green,3 full defects,Instituto Hondureño del Café,365
86.58,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Taiwan Coffee Laboratory,1200,"Leye, Alishan Township, Chiayi County","FANG,ZHENG-LUN 方政倫",20,Specialty Coffee Association,2015-01-01 00:00:00,2016-05-18,Sumatra,Completed,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,Sample  86.58,0%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
86.58,Arabica,Nora Zeas,Nicaragua,N/A,N/A,Unknown,N/A,275,Specialty Coffee Association,N/A,2010-05-18,Other,Completed,Other,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,Sample  86.58,8%,0 full defects,None,2 full defects,Specialty Coffee Association,365
86.5,Arabica,Specialty Coffee-Korea,Tanzania,N/A,N/A,Unknown,N/A,100,Specialty Coffee Institute of Asia,2012-01-01 00:00:00,2013-09-03,Other,Completed,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,Sample  86.50,11%,0 full defects,Bluish-Green,1 full defects,Specialty Coffee Institute of Asia,365
86.42,Arabica,NUCOFFEE,Brazil,NUCOFFEE,1300,Vale da Grama,Homero Texeira de Macedo Junior,29,NUCOFFEE,2011-01-01 00:00:00,2011-12-03,Bourbon,Completed,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,Sample  86.42,12%,0 full defects,Green,2 full defects,NUCOFFEE,365
86.33,Arabica,Francisco A Mena,Costa Rica,Exclusive Coffees S.A.,1300,West and Central Valley,Exclusive Coffees S.A.,250,Specialty Coffee Association of Costa Rica,2015-01-01 00:00:00,2015-12-03,Caturra,Completed,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,Sample  86.33,0%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Association of Costa Rica,365
86.25,Arabica,Hider Abamecha,Ethiopia,Haider Abamecha Coffee Export,1750-1800,Oromia,Haider Abamecha Abadiko,320,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-03-27,Other,Completed,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,Sample  86.25,10%,0 full defects,Green,3 full defects,METAD Agricultural Development plc,365
86.25,Arabica,Daniel Magu,Kenya,C dorman Ltd,1800,Muranga,Kangunu,320,Kenya Coffee Traders Association,2013-01-01 00:00:00,2014-05-30,SL34,Completed,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,Sample  86.25,12%,0 full defects,Blue-Green,1 full defects,Kenya Coffee Traders Association,365
86.25,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,10,Specialty Coffee Association,2012-01-01 00:00:00,2012-04-06,Hawaiian Kona,Completed,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,Sample  86.25,0%,1 full defects,None,4 full defects,Specialty Coffee Association,365
86.25,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),N/A,N/A,Kona,Kona Pacific Farmers Co-Op,25,Specialty Coffee Association,2010-01-01 00:00:00,2011-01-28,Other,Completed,Other,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,Sample  86.25,0%,2 full defects,None,1 full defects,Specialty Coffee Association,365
86.25,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,N/A,Yirgacheffe,Contact name | ATO Teshome Belamo,300,Ethiopia Commodity Exchange,2009-01-01 00:00:00,2010-06-17,Other,Completed,Other,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,Sample  86.25,10%,0 full defects,None,2 full defects,Ethiopia Commodity Exchange,365
86.17,Arabica,CQI Q Coffee Sample Representative,United States,Coffee Quality Institute,Meters above sea level: 1.941,Antioquía-Urrao,Hugo Sepúlveda Montoya,10,Almacafé,2014-01-01 00:00:00,2015-03-13,Other,Completed,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,Sample  86.17,0%,0 full defects,None,0 full defects,Almacafé,365
86.17,Arabica,ITDP International,Thailand,Lanna Cafe,1300,Chiang Rai,ITDP,53,Specialty Coffee Association,2012-01-01 00:00:00,2012-04-12,Caturra,Completed,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,Sample  86.17,10%,1 full defects,Green,9 full defects,Specialty Coffee Association,365
86.17,Arabica,Jacques Pereira Carneiro,Brazil,N/A,1.2,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,Specialty Coffee Association,2010-01-01 00:00:00,2011-01-04,Yellow Bourbon,Completed,Other,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,Sample  86.17,8%,0 full defects,None,2 full defects,Specialty Coffee Association,365
86.17,Arabica,Jacques Pereira Carneiro,Brazil,N/A,1.2,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,Specialty Coffee Association,2010-01-01 00:00:00,2011-01-04,Yellow Bourbon,Completed,Other,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,Sample  86.17,1%,0 full defects,None,3 full defects,Specialty Coffee Association,365
86.08,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Taiwan Coffee Laboratory,1000 M,"Guoxing Township, Nantou County 南投縣國姓鄉",LIN YEN CHIEN 林言謙,10,Specialty Coffee Association,2015-01-01 00:00:00,2015-06-10,Bourbon,Completed,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,Sample  86.08,12%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
86.08,Arabica,Jungle Estate,Kenya,Keremara Limited,1754,NYERI,JUNGLE ESTATE,12,Kenya Coffee Traders Association,2014-01-01 00:00:00,2015-01-29,SL28,Completed,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,Sample  86.08,11%,0 full defects,Bluish-Green,2 full defects,Kenya Coffee Traders Association,365
86.08,Arabica,NUCOFFEE,Brazil,NUCOFFEE,1250m,South of Minas Gerais,Ralph Junqueira,7,NUCOFFEE,2011-01-01 00:00:00,2011-12-03,Bourbon,Completed,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,Sample  86.08,11%,0 full defects,Blue-Green,2 full defects,NUCOFFEE,365
86.0,Arabica,Great Lakes Coffee Uganda,Uganda,UCDA,N/A,Eastern Uganda,Kaasay Farmer Group,1,Uganda Coffee Development Authority,2014-01-01 00:00:00,2014-10-01,Other,Completed,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,Sample  86.00,0%,0 full defects,None,0 full defects,Uganda Coffee Development Authority,365
86.0,Arabica,LUSSO LAB,Colombia,LUSSO COFFEE LAB,"900-1,500m",Tolima,N/A,1,Specialty Coffee Association,2013-01-01 00:00:00,2014-03-20,Caturra,Completed,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,Sample  86.00,12%,1 full defects,Green,1 full defects,Specialty Coffee Association,365
86.0,Arabica,LUSSO LAB,Kenya,LUSSO COFFEE LAB,1520m-2200m,Kiambu,N/A,1,Specialty Coffee Association,2013-01-01 00:00:00,2014-02-06,SL28,Completed,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,Sample  86.00,11%,0 full defects,Green,1 full defects,Specialty Coffee Association,365
86.0,Arabica,AFCA,Uganda,Kawacom Ltd,1400-1900M,"Sipi, Mt Elgon",Kawacom,1,Africa Fine Coffee Association,2012-01-01 00:00:00,2012-02-13,Other,Completed,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,Sample  86.00,10%,0 full defects,Blue-Green,0 full defects,Africa Fine Coffee Association,365
86.0,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,Ethiopia Commodity Exchange,2009-01-01 00:00:00,2010-06-17,Other,Completed,Other,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,Sample  86.00,1%,0 full defects,None,4 full defects,Ethiopia Commodity Exchange,365
86.0,Arabica,Grounds for Health Admin,United States (Hawaii),N/A,1400ft,Kona,Hula Daddy Kona Coffee,1,Specialty Coffee Association,2009-01-01 00:00:00,2010-05-31,Other,Completed,Other,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,Sample  86.00,0%,0 full defects,None,0 full defects,Specialty Coffee Association,365
85.92,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX GUATEMALA, S.A.",N/A,NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80,Asociacion Nacional Del Café,2016-01-01 00:00:00,2016-05-16,Bourbon,Completed,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,Sample  85.92,10%,0 full defects,Green,3 full defects,Asociacion Nacional Del Café,365
85.92,Arabica,Kawacom Uganda LTD,Uganda,Kawacom uganda LTD,1400-1900,Eastern,Kawacom (U)Ltd,1,Uganda Coffee Development Authority,2013-01-01 00:00:00,2014-06-30,SL14,Completed,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,Sample  85.92,12%,0 full defects,Green,0 full defects,Uganda Coffee Development Authority,365
85.92,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1800 msnm,Huila,N/A,275,Almacafé,2013-01-01 00:00:00,2013-07-26,Caturra,Completed,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,Sample  85.92,0%,1 full defects,Blue-Green,0 full defects,Almacafé,365
85.83,Arabica,Gonzalo Hernandez,Panama,CE Specialty S.A.,1600,Boquete,Plinio Ruiz,37,Specialty Coffee Association of Costa Rica,2017-01-01 00:00:00,2017-10-09,Gesha,Completed,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,Sample  85.83,8%,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Association of Costa Rica,365
85.83,Arabica,Ibrahim Hussien Speciality Coffee Producer &Export,Ethiopia,Ibrahim Hussien Specality Coffee Product & Exporter,1800-2000,Oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-04-04,Other,Completed,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,Sample  85.83,10%,0 full defects,Green,4 full defects,METAD Agricultural Development plc,365
85.83,Arabica,Juan Luis Alvarado Romero,Guatemala,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,150,Asociacion Nacional Del Café,2012-01-01 00:00:00,2012-07-03,Bourbon,Completed,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,Sample  85.83,12%,0 full defects,Green,3 full defects,Asociacion Nacional Del Café,365
85.83,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNICAFE, S.A",4650,NUEVO ORIENTE ALDEA EL LIMON,WILLIAM ESTUARDO MARTINEZ PACHECO,275,Asociacion Nacional Del Café,2012-01-01 00:00:00,2012-06-05,Catuai,Completed,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,Sample  85.83,10%,0 full defects,Bluish-Green,1 full defects,Asociacion Nacional Del Café,365
85.75,Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,Seid Damtew Coffee Planation,N/A,addis ababa,seid damtew coffee export and plantation,320,METAD Agricultural Development plc,2017-01-01 00:00:00,2017-06-23,Caturra,Completed,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,Sample  85.75,9%,0 full defects,None,7 full defects,METAD Agricultural Development plc,365
85.75,Arabica,Dane Loraas,Peru,Sustainable Harvest,N/A,Cajamarca,N/A,280,Specialty Coffee Association,2013-01-01 00:00:00,2014-01-22,Other,Completed,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,Sample  85.75,10%,4 full defects,Green,6 full defects,Specialty Coffee Association,365
85.75,Arabica,"Colbran Coffeelands, Ltd.",Papua New Guinea,CQI,"1,700 mts",Eastern Highlands Province,"Colbran CoffeeLands, Ltd.",7,Specialty Coffee Association,2012-01-01 00:00:00,2012-10-25,Other,Completed,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,Sample  85.75,12%,0 full defects,Bluish-Green,1 full defects,Specialty Coffee Association,365
85.58,Arabica,Atlantic Specialty Coffee,El Salvador,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275,Specialty Coffee Association,2013-01-01 00:00:00,2013-03-18,Bourbon,Completed,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,Sample  85.58,10%,0 full defects,Blue-Green,3 full defects,Specialty Coffee Association,365
85.58,Arabica,LUSSO LAB,El Salvador,LUSSO COFFEE LAB,1300~1400 m.s.l,"Ataco, Apaneca - Ilamatepec mountain range",Oscar Roberto Murgas Linares,19,Specialty Coffee Association,2012-01-01 00:00:00,2013-01-12,Bourbon,Completed,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,Sample  85.58,11%,0 full defects,None,0 full defects,Specialty Coffee Association,365
85.58,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,8,Specialty Coffee Association,2012-01-01 00:00:00,2012-04-06,Hawaiian Kona,Completed,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,Sample  85.58,0%,0 full defects,None,1 full defects,Specialty Coffee Association,365
85.5,Arabica,EssenceCoffee,Panama,Essence Coffee,1680,Boquete,Lamastus,100,Blossom Valley International,2014-01-01 00:00:00,2015-05-23,Caturra,Completed,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,Sample  85.50,9%,2 full defects,None,2 full defects,Blossom Valley International,365
85.5,Arabica,EssenceCoffee,Kenya,Essence Coffee,1900M,Kirinyaga,N/A,16,Blossom Valley International,2014-01-01 00:00:00,2015-05-23,SL28,Completed,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,Sample  85.50,10%,0 full defects,Green,3 full defects,Blossom Valley International,365
85.5,Arabica,Assefa Belay Coffee Producer,Ethiopia,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,METAD Agricultural Development plc,2015-01-01 00:00:00,2015-03-31,Other,Completed,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,Sample  85.50,12%,0 full defects,Green,7 full defects,METAD Agricultural Development plc,365
85.5,Arabica,Kyagalanyi Ltd,Uganda,Kyagalanyi Coffee Ltd,1600,Bulambuli Eastern region,Kyagalanyi coffee Ltd,320,Uganda Coffee Development Authority,2013-01-01 00:00:00,2014-06-26,SL14,Completed,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,Sample  85.50,12%,0 full defects,Green,1 full defects,Uganda Coffee Development Authority,365
